code,name,date,temp_mean,temp_outlier
MWI,Malawi,1950-07-01,22.2,False
MWI,Malawi,1951-07-01,21.43,False
MWI,Malawi,1952-07-01,21.66,False
MWI,Malawi,1953-07-01,21.33,False
MWI,Malawi,1954-07-01,21.64,False
MWI,Malawi,1955-07-01,21.97,False
MWI,Malawi,1956-07-01,21.45,False
MWI,Malawi,1957-07-01,21.5,False
MWI,Malawi,1958-07-01,21.81,False
MWI,Malawi,1959-07-01,22.09,False
MWI,Malawi,1960-07-01,21.19,False
MWI,Malawi,1961-07-01,21.63,False
MWI,Malawi,1962-07-01,21.96,False
MWI,Malawi,1963-07-01,22.1,False
MWI,Malawi,1964-07-01,21.51,False
MWI,Malawi,1965-07-01,21.18,False
MWI,Malawi,1966-07-01,21.42,False
MWI,Malawi,1967-07-01,21.54,False
MWI,Malawi,1968-07-01,21.6,False
MWI,Malawi,1969-07-01,21.49,False
MWI,Malawi,1970-07-01,21.61,False
MWI,Malawi,1971-07-01,21.75,False
MWI,Malawi,1972-07-01,21.36,False
MWI,Malawi,1973-07-01,21.97,False
MWI,Malawi,1974-07-01,21.89,False
MWI,Malawi,1975-07-01,21.84,False
MWI,Malawi,1976-07-01,21.49,False
MWI,Malawi,1977-07-01,21.44,False
MWI,Malawi,1978-07-01,21.88,False
MWI,Malawi,1979-07-01,21.98,False
MWI,Malawi,1980-07-01,22.01,False
MWI,Malawi,1981-07-01,21.65,False
MWI,Malawi,1982-07-01,21.89,False
MWI,Malawi,1983-07-01,21.86,False
MWI,Malawi,1984-07-01,21.87,False
MWI,Malawi,1985-07-01,22.09,False
MWI,Malawi,1986-07-01,22.36,False
MWI,Malawi,1987-07-01,22.54,False
MWI,Malawi,1988-07-01,22.7,False
MWI,Malawi,1989-07-01,21.66,False
MWI,Malawi,1990-07-01,21.61,False
MWI,Malawi,1991-07-01,21.91,False
MWI,Malawi,1992-07-01,21.52,False
MWI,Malawi,1993-07-01,21.86,False
MWI,Malawi,1994-07-01,22.13,False
MWI,Malawi,1995-07-01,22.3,False
MWI,Malawi,1996-07-01,21.92,False
MWI,Malawi,1997-07-01,21.54,False
MWI,Malawi,1998-07-01,21.69,False
MWI,Malawi,1999-07-01,22.31,False
MWI,Malawi,2000-07-01,22.4,False
MWI,Malawi,2001-07-01,23.16,False
MWI,Malawi,2002-07-01,22.16,False
MWI,Malawi,2003-07-01,22.89,False
MWI,Malawi,2004-07-01,23.12,False
MWI,Malawi,2005-07-01,22.52,False
MWI,Malawi,2006-07-01,22.27,False
MWI,Malawi,2007-07-01,22.66,False
MWI,Malawi,2008-07-01,22.76,False
MWI,Malawi,2009-07-01,22.5,False
MWI,Malawi,2010-07-01,21.89,False
MWI,Malawi,2011-07-01,22.19,False
MWI,Malawi,2012-07-01,22.62,False
MWI,Malawi,2013-07-01,22.44,False
MWI,Malawi,2014-07-01,22.64,False
