YEAR,MEAN TEMPERATURE
1950-07,22.2
1951-07,21.43
1952-07,21.66
1953-07,21.33
1954-07,21.64
1955-07,21.97
1956-07,21.45
1957-07,21.5
1958-07,21.81
1959-07,22.09
1960-07,21.19
1961-07,21.63
1962-07,21.96
1963-07,22.1
1964-07,21.51
1965-07,21.18
1966-07,21.42
1967-07,21.54
1968-07,21.6
1969-07,21.49
1970-07,21.61
1971-07,21.75
1972-07,21.36
1973-07,21.97
1974-07,21.89
1975-07,21.84
1976-07,21.49
1977-07,21.44
1978-07,21.88
1979-07,21.98
1980-07,22.01
1981-07,21.65
1982-07,21.89
1983-07,21.86
1984-07,21.87
1985-07,22.09
1986-07,22.36
1987-07,22.54
1988-07,22.7
1989-07,21.66
1990-07,21.61
1991-07,21.91
1992-07,21.52
1993-07,21.86
1994-07,22.13
1995-07,22.3
1996-07,21.92
1997-07,21.54
1998-07,21.69
1999-07,22.31
2000-07,22.4
2001-07,23.16
2002-07,22.16
2003-07,22.89
2004-07,23.12
2005-07,22.52
2006-07,22.27
2007-07,22.66
2008-07,22.76
2009-07,22.5
2010-07,21.89
2011-07,22.19
2012-07,22.62
2013-07,22.44
2014-07,22.64
