Year,Predicted_Mean_Temperature
2015,22.498846153846046
2016,22.51510489510479
2017,22.53136363636353
2018,22.547622377622275
2019,22.563881118881014
2020,22.580139860139752
2021,22.596398601398498
2022,22.612657342657236
2023,22.628916083915982
2024,22.64517482517472
2025,22.661433566433466
2026,22.677692307692205
2027,22.693951048950943
2028,22.71020979020969
2029,22.726468531468427
2030,22.742727272727173
2031,22.75898601398591
2032,22.77524475524465
2033,22.791503496503395
2034,22.807762237762134
2035,22.82402097902088
2036,22.840279720279618
2037,22.856538461538356
2038,22.872797202797102
2039,22.88905594405584
2040,22.905314685314586
2041,22.921573426573325
2042,22.93783216783207
2043,22.95409090909081
2044,22.970349650349547
2045,22.986608391608293
2046,23.00286713286703
2047,23.019125874125777
2048,23.035384615384515
2049,23.051643356643254
2050,23.067902097902
2051,23.084160839160738
2052,23.100419580419484
2053,23.116678321678222
2054,23.13293706293696
2055,23.149195804195706
2056,23.165454545454445
2057,23.18171328671319
2058,23.19797202797193
2059,23.214230769230674
2060,23.230489510489413
2061,23.24674825174815
2062,23.263006993006897
2063,23.279265734265636
2064,23.29552447552438
2065,23.31178321678312
2066,23.328041958041858
2067,23.344300699300604
2068,23.360559440559342
2069,23.376818181818088
2070,23.393076923076826
2071,23.409335664335565
2072,23.42559440559431
2073,23.44185314685305
2074,23.458111888111794
2075,23.474370629370533
2076,23.49062937062928
2077,23.506888111888017
2078,23.523146853146756
2079,23.5394055944055
2080,23.55566433566424
2081,23.571923076922985
2082,23.588181818181724
2083,23.604440559440462
2084,23.620699300699208
2085,23.636958041957946
2086,23.653216783216692
2087,23.66947552447543
2088,23.68573426573417
2089,23.701993006992915
2090,23.718251748251653
2091,23.7345104895104
2092,23.750769230769137
2093,23.767027972027883
2094,23.78328671328662
2095,23.79954545454536
2096,23.815804195804105
2097,23.832062937062844
2098,23.84832167832159
2099,23.864580419580328
